id,name,year,doi,transmission_1,transmission_2,model_1,model_2,methodology_1,methodology_2,methodology_3,behavior_1,behavior_2,behavior_3,data
wofs_13,comparing metapopulation dynamics of infectious diseases under different models of human movement,2021,10.1073/pnas.2007488118,human,,deterministic,,odes,,,movement,,,yes
wofs_14,mathematical epidemiological analysis of dynamics of delay attacks on pull-based competitive information diffusion,2020,10.1016/j.comnet.2020.107383,human,,deterministic,,odes,network,,information,,,no
wofs_15,stochasticity of disease spreading derived from the microscopic simulation approach for various physical contact networks,2022,10.1016/j.amc.2022.127328,human,,stochastic,mas,network,odes,,movement,,,no
scholar_1,optimal bed net use for a dengue disease model with mosquito seasonal pattern,2017,10.1002/mma.4629,vector,,deterministic,,odes,pdes,,protection,,,yes
scholar_2,transmission and control of plasmodium knowlesi: a mathematical modelling study,2014,10.1371/journal.pntd.0002978,vector,,deterministic,,odes,,,protection,movement,,yes
scholar_3,"pathogenic landscapes: interactions between land, people, disease vectors, and their animal hosts",2010,10.1186/1476-072x-9-54,vector,,,,,,,,,,no
scholar_4,human exposure to early morning anopheles funestus biting behavior and personal protection provided by long-lasting insecticidal nets,2014,10.1371/journal.pone.0104967,vector,,,,,,,,,,no
scholar_5,"a stage-structured stochastic model of the population dynamics of triatoma infestans, the main vector of chagas disease",2003,10.1016/s0304-3800(02)00388-5,vector,,stochastic,,mc,,,irritability,,,no
scholar_6,"perspectives on the role of mobility, behavior, and time scales in the spread of diseases",2016,10.1073/pnas.1604994113,vector,,lagrangian,deterministic,odes,,,movement,information,,no
scholar_7,contrasting the value of targeted versus area- wide mosquito control scenarios to limit arbovirus transmission with human mobility patterns based on different tropical urban population centers,2019,10.1371/journal.pntd.0007479,vector,,stochastic,,network,,,movement,information,,yes
scholar_8,assessing the impact of control interventions and awareness on malaria: a mathematical modeling approach,2021,10.28919/cmbn/6632,vector,,deterministic,,odes,,,protection,information,,no
scholar_9,behavioral responses to epidemics in an online experiment: using virtual diseases to study human behavior,2013,10.1371/journal.pone.0052814,human,,,,,,,,,,no
scholar_10,human behaviors: a threat to mosquito control?,2016,10.1016/j.mbs.2016.08.011,vector,,deterministic,,odes,hbm,,control,,,no
scholar_11,"a game-theoretic modeling approach to comprehend the advantage of dynamic health interventions in limiting
the transmission of multi-strain epidemics",2022,10.4236/jamp.2022.1012248,human,,deterministic,,odes,,,vaccination,protection,,no
scholar_12,modeling the dynamic transmission of dengue fever: investigating disease persistence,2011,10.1371/journal.pntd.0000942,vector,,stochastic,,network,,,movement,,,yes
scholar_13,understanding dengue control for short- and long-term intervention with a mathematical model approach,2018,10.1155/2018/9674138,vector,,deterministic,,odes,,,vaccination,protection,,no
scholar_14,why should we apply abm for decision analysis for infectious diseases?—an example for dengue interventions,2019,10.1371/journal.pone.0221564,vector,,abm,,,,,,,,yes
scholar_15,"stability analysis and optimal control of
a vector-borne disease with nonlinear incidence",2012,10.1155/2012/595487,vector,,deterministic,,odes,fdes,,control,,,no
scholar_16,man bites mosquito: understanding the contribution of human movement to vector-borne disease dynamics,2009,doi:10.1371/journal.pone.0006763,vector,,stochastic,,network,,,movement,,,no
scholar_17,a human behavior integrated hierarchical model of airborne disease transmission in a large city,2018,10.1016/j.buildenv.2017.11.011,human,,hihi,deterministic,odes,,,policies,protection,information,no
scholar_18,spatially explicit multi-criteria decision analysis for managing vector-borne diseases,2011,10.1186/1476-072x-10-70,vector,,,,,,,,,,no
